Genus,Family
Aframomum,Zingiberaceae
Afraurantium,Rutaceae
Afrobrunnichia,Polygonaceae
Afrocalathea,Marantaceae
Afrocanthium,Rubiaceae
Afrocarpus,Podocarpaceae
Afrodaphne,Lauraceae
Afrofittonia,Acanthaceae
Afroguatteria,Annonaceae
Afrolicania,Chrysobalanaceae
Afroligusticum,Apiaceae
Afrolimon,Plumbaginaceae
Afromendoncia,Acanthaceae
Afropteris,Pteridaceae
Afrormosia,Leguminosae
Afrosciadium,Apiaceae
Afrosersalisia,Sapotaceae
Afrosison,Apiaceae
Afrostyrax,Huaceae
Afrothismia,Burmanniaceae
Afrotrewia,Euphorbiaceae
Afrotrichloris,Poaceae
Afrotrilepis,Cyperaceae
Afrotysonia,Boraginaceae
Afrovivella,Crassulaceae
Afzelia,Leguminosae
Agalinis,Orobanchaceae
Agallochum,Thymelaeaceae
Agalma,Araliaceae
Agalmyla,Gesneriaceae
Agaloma,Euphorbiaceae
Aganippea,Compositae
Aganisia,Orchidaceae
Aganonerion,Apocynaceae
Aganope,Leguminosae
Aganosma,Apocynaceae
Agapanthus,Amaryllidaceae
Agapetes,Ericaceae
Agarista,Ericaceae
Agastache,Lamiaceae
Agastachys,Proteaceae
Agasthiyamalaia,Clusiaceae
Agasyllis,Apiaceae
Agatea,Violaceae
Agathaea,Compositae
Agathelpis,Scrophulariaceae
Agathis,Araucariaceae
Agathisanthemum,Rubiaceae
Agathophora,Amaranthaceae
Agathophyllum,Lauraceae
Agathosma,Rutaceae
Agathotes,Gentianaceae
Agathyrsus,Compositae
Agati,Leguminosae
Agation,Violaceae
Agauria,Ericaceae
Agave,Asparagaceae
Agdestis,Phytolaccaceae
Agelaea,Connaraceae
Agelanthus,Loranthaceae
Agenium,Poaceae
Ageratella,Compositae
Ageratina,Compositae
Ageratinastrum,Compositae
Ageratum,Compositae
Ageria,Aquifoliaceae
Agiabampoa,Compositae
Agialida,Zygophyllaceae
Agianthus,Brassicaceae
Aglaia,Meliaceae
Aglaodorum,Araceae
Aglaomorpha,Polypodiaceae
Aglaonaria,Polypodiaceae
Aglaonema,Araceae
Aglitheis,Amaryllidaceae
Aglossorrhyncha,Orchidaceae
Agnesia,Poaceae
Agnirictus,Aizoaceae
Agnorhiza,Compositae
Agonandra,Opiliaceae
Agonis,Myrtaceae
Agoseris,Compositae
Agouticarpa,Rubiaceae
Agraulus,Poaceae
Agretta,Iridaceae
Agrianthus,Compositae
Agrimonia,Rosaceae
Agriophyllum,Amaranthaceae
Agriphyllum,Compositae
Agrocharis,Apiaceae
Agroelymus,Poaceae
Agrohordeum,Poaceae
Agropogon,Poaceae
Agropogon,Poaceae
Agropyrohordeum,Poaceae
Agropyron,Poaceae
Agropyropsis,Poaceae
Agrositanion,Poaceae
Agrostemma,Caryophyllaceae
Agrostis,Poaceae
Agrostistachys,Euphorbiaceae
Agrostocrinum,Xanthorrhoeaceae
Agrostophyllum,Orchidaceae
Agrostopoa,Poaceae
Agrotrigia,Poaceae
Agrotriticum,Poaceae
Aguiaria,Malvaceae
Agyneia,Phyllanthaceae
Ahernia,Salicaceae
Ahouai,Apocynaceae
Ahzolia,Cucurbitaceae
Aichryson,Crassulaceae
Aidema,Amaryllidaceae
Aidia,Rubiaceae
Aidiopsis,Rubiaceae
Ailanthus,Simaroubaceae
Ailantopsis,Meliaceae
Ailuroschia,Leguminosae
Aimorra,Compositae
Ainsliaea,Compositae
Ainsliea,Compositae
Ainsworthia,Apiaceae
Aiouea,Lauraceae
Aiphanes,Arecaceae
Aira,Poaceae
Airampoa,Cactaceae
Airochloa,Poaceae
Airopsis,Poaceae
Airosperma,Rubiaceae
Airyantha,Leguminosae
Aistopetalum,Cunoniaceae
Aitchisoniella,Targioniaceae
Aizoanthemum,Aizoaceae
Aizodraba,Brassicaceae
Aizoon,Aizoaceae
Aizopsis,Crassulaceae
Ajania,Compositae
Ajaniopsis,Compositae
Ajuga,Lamiaceae
Ajugoides,Lamiaceae
Akania,Akaniaceae
Akeassia,Compositae
Akebia,Lardizabalaceae
Akrosida,Malvaceae
Akschindlium,Leguminosae
Alafia,Apocynaceae
Alagophylla,Gesneriaceae
Alamania,Orchidaceae
Alangium,Cornaceae
Alania,Boryaceae
Alansmia,Polypodiaceae
Alantsilodendron,Leguminosae
Alaternus,Rhamnaceae
Alaticaulia,Orchidaceae
Alatiliparis,Orchidaceae
Alatoseta,Compositae
Alberta,Rubiaceae
Albertia,Apiaceae
Albertinia,Compositae
Albertisia,Menispermaceae
Albertokuntzea,Phytolaccaceae
Albidella,Alismataceae
Albizia,Leguminosae
Albovia,Apiaceae
Alboviodoxa,Compositae
Albrandia,Moraceae
Albraunia,Plantaginaceae
Albuca,Asparagaceae
Albugoides,Asparagaceae
Alcalthaea,Malvaceae
Alcantarea,Bromeliaceae
Alcea,Malvaceae
Alchemilla,Rosaceae
Alchornea,Euphorbiaceae
Alchorneopsis,Euphorbiaceae
Alcicornium,Polypodiaceae
Aldama,Compositae
Aldina,Leguminosae
Aldrovanda,Droseraceae
Alectorolophus,Orobanchaceae
Alectra,Orobanchaceae
Alectryon,Sapindaceae
Aleisanthia,Rubiaceae
Aleisanthiopsis,Rubiaceae
Alepidea,Apiaceae
Alepidocline,Compositae
Alepis,Loranthaceae
Alepyrum,Centrolepidaceae
Aletes,Apiaceae
Aletris,Nartheciaceae
Aleurites,Euphorbiaceae
Aleuritia,Primulaceae
Aleuritopteris,Pteridaceae
Alexa,Leguminosae
Alexeya,Ranunculaceae
Alexfloydia,Poaceae
Alexgeorgea,Restionaceae
Alexitoxicon,Apocynaceae
Alfaroa,Juglandaceae
Alfaropsis,Juglandaceae
Alfredia,Compositae
Algaria,Pottiaceae
Algernonia,Euphorbiaceae
Algrizea,Myrtaceae
Alguelagum,Lamiaceae
Alhagi,Leguminosae
Alibertia,Rubiaceae
Alibrexia,Solanaceae
Alicabon,Solanaceae
Alicia,Malpighiaceae
Aliciella,Polemoniaceae
Aliconia,Compositae
Alicularia,Jungermanniaceae
Aliella,Compositae
Alifana,Melastomataceae
Alifiola,Caryophyllaceae
Aligera,Caprifoliaceae
Aligrimmia,Grimmiaceae
Alinula,Cyperaceae
Aliopsis,Gentianaceae
Alisma,Alismataceae
Alismorchis,Orchidaceae
Alistilus,Leguminosae
Alkanna,Boraginaceae
Alkekengi,Solanaceae
Alkibias,Compositae
Allaganthera,Amaranthaceae
Allagopappus,Compositae
Allagoptera,Arecaceae
Allamanda,Apocynaceae
Allanblackia,Clusiaceae
Allantodia,Athyriaceae
Allantoma,Lecythidaceae
Allantospermum,Ixonanthaceae
Allardia,Compositae
Allasia,Lamiaceae
Alleizettea,Rubiaceae
Alleizettella,Rubiaceae
Alleniella,Neckeraceae
Allenrolfea,Amaranthaceae
Allexis,Violaceae
Alliaria,Brassicaceae
Alliaria,Meliaceae
Allionia,Nyctaginaceae
Allioniella,Sematophyllaceae
Allioniellopsis,Sematophyllaceae
Allisonia,Allisoniaceae
Allisoniella,Cephaloziellaceae
Allittia,Compositae
Allium,Amaryllidaceae
Allmania,Amaranthaceae
Allmaniopsis,Amaranthaceae
Allocalyx,Plantaginaceae
Allocarpus,Compositae
Allocarya,Boraginaceae
Allocaryastrum,Boraginaceae
Allocassine,Celastraceae
Allocasuarina,Casuarinaceae
Allocephalus,Compositae
Allocheilos,Gesneriaceae
Allochlamys,Amaranthaceae
Allochrusa,Caryophyllaceae
Alloeochaete,Poaceae
Allohemia,Loranthaceae
Alloispermum,Compositae
Allolepis,Poaceae
Allomaieta,Melastomataceae
Allomarkgrafia,Apocynaceae
Allomorphia,Melastomataceae
Alloneuron,Melastomataceae
Allophylastrum,Sapindaceae
Allophyllum,Polemoniaceae
Allophylus,Sapindaceae
Allophyton,Scrophulariaceae
Alloplectus,Gesneriaceae
Allopterigeron,Compositae
Allorgea,Hypnaceae
Allorgella,Lejeuneaceae
Allosampela,Vitaceae
Allosanthus,Sapindaceae
Alloschemone,Araceae
Allosidastrum,Malvaceae
Allosorus,Pteridaceae
Allospondias,Anacardiaceae
Allostelites,Equisetaceae
Allostigma,Gesneriaceae
Allosyncarpia,Myrtaceae
Alloteropsis,Poaceae
Allotropa,Ericaceae
Allowissadula,Malvaceae
Allowoodsonia,Apocynaceae
Alloxylon,Proteaceae
Allozygia,Melastomataceae
Alluaudia,Didiereaceae
Alluaudiopsis,Didiereaceae
Almaleea,Leguminosae
Almeidea,Rutaceae
Almutaster,Compositae
Alniphyllum,Styracaceae
Alnus,Betulaceae
Alobiella,Cephaloziaceae
Alobiellopsis,Cephaloziaceae
Alocasia,Araceae
Alococarpum,Apiaceae
Aloe,Xanthorrhoeaceae
Aloexylum,Thymelaeaceae
Aloina,Pottiaceae
Aloinella,Pottiaceae
Aloinopsis,Aizoaceae
Aloitis,Gentianaceae
Alomia,Compositae
Alomiella,Compositae
Alona,Solanaceae
Alonsoa,Scrophulariaceae
Alopecias,Leguminosae
Alopecurus,Poaceae
Alophia,Iridaceae
Alophosia,Polytrichaceae
Alosemis,Melastomataceae
Aloysia,Verbenaceae
Alphandia,Euphorbiaceae
Alphitonia,Rhamnaceae
Alphonsea,Annonaceae
Alpinia,Zingiberaceae
Alposelinum,Apiaceae
Alrawia,Asparagaceae
Alseis,Rubiaceae
Alseodaphne,Lauraceae
Alseuosmia,Alseuosmiaceae
Alsia,Leucodontaceae
Alsinanthus,Caryophyllaceae
Alsinastrum,Elatinaceae
Alsine,Caryophyllaceae
Alsinella,Caryophyllaceae
Alsinidendron,Caryophyllaceae
Alsinopsis,Caryophyllaceae
Alsodeia,Violaceae
Alsodeiopsis,Icacinaceae
Alsomitra,Cucurbitaceae
Alsophila,Cyatheaceae
Alstonia,Apocynaceae
Alstroemeria,Alstroemeriaceae
Altamiranoa,Crassulaceae
Altensteinia,Orchidaceae
Alternanthera,Amaranthaceae
Althaea,Malvaceae
Althenia,Potamogetonaceae
Althoffia,Malvaceae
Altingia,Altingiaceae
Altoparadisium,Poaceae
Aluta,Myrtaceae
Alvaradoa,Picramniaceae
Alvarezia,Acanthaceae
Alveolina,Loranthaceae
Alvesia,Lamiaceae
Alvimia,Poaceae
Alvimiantha,Rhamnaceae
Alvordia,Compositae
Alyogyne,Malvaceae
Alysicarpus,Leguminosae
Alyssoides,Brassicaceae
Alyssopsis,Brassicaceae
Alyssum,Brassicaceae
Alyxia,Apocynaceae
Alzatea,Penaeaceae
Amaioua,Rubiaceae
Amalago,Piperaceae
Amalia,Orchidaceae
Amalocalyx,Apocynaceae
Amalophyllon,Gesneriaceae
Amana,Liliaceae
Amanoa,Phyllanthaceae
Amaraboya,Melastomataceae
Amaracarpus,Rubiaceae
Amaranthus,Amaranthaceae
Amarcrinum,Amaryllidaceae
Amarella,Gentianaceae
Amarenus,Leguminosae
Amarine,Amaryllidaceae
Amaroria,Simaroubaceae
Amarygia,Amaryllidaceae
Amaryllis,Amaryllidaceae
Amasonia,Lamiaceae
Amatula,Solanaceae
Amauria,Compositae
Amauriella,Araceae
Amauriopsis,Compositae
Amauropelta,Thelypteridaceae
Amazoopsis,Lepidoziaceae
Ambassa,Compositae
Ambavia,Annonaceae
Ambelania,Apocynaceae
Amberboa,Compositae
Ambilobea,Burseraceae
Amblia,Dryopteridaceae
Amblogyna,Amaranthaceae
Amblostoma,Orchidaceae
Amblovenatum,Thelypteridaceae
Amblyanthera,Melastomataceae
Amblyanthopsis,Primulaceae
Amblyanthus,Primulaceae
Amblygonocarpus,Leguminosae
Amblynotopsis,Boraginaceae
Amblynotus,Boraginaceae
Amblyocarpum,Compositae
Amblyodon,Meesiaceae
Amblyodum,Meesiaceae
Amblyoglossum,Apocynaceae
Amblyolepis,Compositae
Amblyopappus,Compositae
Amblyopetalum,Apocynaceae
Amblyopogon,Compositae
Amblysperma,Compositae
Amblystegiella,Amblystegiaceae
Amblystegium,Amblystegiaceae
Amblystigma,Apocynaceae
Amblytropis,Daltoniaceae
Amblytropis,Leguminosae
Ambongia,Acanthaceae
Ambora,Monimiaceae
Amborella,Amborellaceae
Amboroa,Compositae
Ambrella,Orchidaceae
Ambroma,Malvaceae
Ambrosia,Compositae
Ambrosina,Araceae
Ambuchanania,Sphagnaceae
Ambulia,Scrophulariaceae
Amburana,Leguminosae
Ameghinoa,Compositae
Amelanchier,Rosaceae
Amelasorbus,Rosaceae
Amelasorbus,Rosaceae
Amellus,Compositae
Amentotaxus,Taxaceae
Amerimnon,Leguminosae
Ameroglossum,Scrophulariaceae
Amerosedum,Crassulaceae
Amesia,Orchidaceae
Amesiella,Orchidaceae
Amesiodendron,Sapindaceae
Amesium,Aspleniaceae
Amethystanthus,Lamiaceae
Amethystea,Lamiaceae
Ametron,Rosaceae
Amherstia,Leguminosae
Amianthium,Melanthiaceae
Amicia,Leguminosae
Amirola,Sapindaceae
Amischotolype,Commelinaceae
Amitostigma,Orchidaceae
Ammandra,Arecaceae
Ammannia,Lythraceae
Ammanthus,Compositae
Ammi,Apiaceae
Ammobium,Compositae
Ammobroma,Boraginaceae
Ammocalamagrostis,Poaceae
Ammocalamagrostis,Poaceae
Ammocharis,Amaryllidaceae
Ammochloa,Poaceae
Ammodaucus,Apiaceae
Ammodendron,Leguminosae
Ammodenia,Caryophyllaceae
Ammodytes,Leguminosae
Ammoides,Apiaceae
Ammophila,Poaceae
Ammopiptanthus,Leguminosae
Ammoselinum,Apiaceae
Ammoseris,Compositae
Ammosperma,Brassicaceae
Ammyrsine,Ericaceae
Amolinia,Compositae
